Sample_Date,WRRF_Name,Gene Copies (N1/L),Per Capita Gene Copies,"Population Served, estimated",School-Aged Population,Season,Holiday
2022-02-02,Wards Island,2671.0,1620000.0,1201485,240219.0,Winter 2021,0
2022-02-06,26th Ward,678.0,441000.0,290608,72091.0,Winter 2021,0
2022-02-06,Bowery Bay,1565.0,583000.0,924695,122994.0,Winter 2021,0
2022-02-06,Coney Island,3214.0,1690000.0,682342,117865.0,Winter 2021,0
2022-02-06,Hunts Point,1441.0,960000.0,755948,151282.0,Winter 2021,0
2022-02-06,Jamaica Bay,2704.0,1120000.0,748737,131881.0,Winter 2021,0
2022-02-06,Newtown Creek,2461.0,1430000.0,1156473,188137.0,Winter 2021,0
2022-02-06,North River,1107.0,617000.0,658596,72242.0,Winter 2021,0
2022-02-06,Oakwood Beach,2514.0,1160000.0,258731,44374.0,Winter 2021,0
2022-02-06,Owls Head,2749.0,999000.0,906442,135396.0,Winter 2021,0
2022-02-06,Port Richmond,3297.0,1660000.0,226167,46435.0,Winter 2021,0
2022-02-06,Red Hook,2272.0,806000.0,224029,33636.0,Winter 2021,0
2022-02-06,Rockaway,1862.0,1110000.0,120539,29986.0,Winter 2021,0
2022-02-06,Tallman Island,5123.0,2970000.0,449907,74748.0,Winter 2021,0
2022-02-06,Wards Island,2215.0,1290000.0,1201485,240219.0,Winter 2021,0
2022-02-08,26th Ward,886.0,577000.0,290608,72091.0,Winter 2021,0
2022-02-08,Bowery Bay,21573.0,8210000.0,924695,122994.0,Winter 2021,0
2022-02-08,Coney Island,3132.0,1340000.0,682342,117865.0,Winter 2021,0
