Test Date,WRRF Name,Gene Copies (N1/L),Per Capita Gene Copies,"Population Served, estimated",School Status,School-Aged Population,Season,Holiday
2020-11-02,Port Richmond,2801.0,1687927.97,226167,All Grades,46435.0,Fall 2020,0
2020-11-02,Red Hook,775.0,471227.9,224029,All Grades,33636.0,Fall 2020,0
2020-11-03,Rockaway,452.0,340971.98,120539,All Grades,29986.0,Fall 2020,0
2020-11-02,Tallman Island,1086.0,758212.93,449907,All Grades,74748.0,Fall 2020,0
2020-11-02,Wards Island,4160.0,2857421.94,1201485,All Grades,240219.0,Fall 2020,0
2020-11-04,26th Ward,3616.0,2308059.45,290608,All Grades,72091.0,Fall 2020,0
2020-11-04,Bowery Bay,5348.0,1904648.95,924695,All Grades,122994.0,Fall 2020,0
2020-11-04,Coney Island,1145.0,489122.1,682342,All Grades,117865.0,Fall 2020,0
2020-11-04,Hunts Point,1974.0,1245744.71,755948,All Grades,151282.0,Fall 2020,0
2020-11-04,Jamaica Bay,5794.0,2255629.23,748737,All Grades,131881.0,Fall 2020,0
2020-11-04,Newtown Creek,1219.0,666313.87,1156473,All Grades,188137.0,Fall 2020,0
2020-11-04,North River,4016.0,2008176.38,658596,All Grades,72242.0,Fall 2020,0
2020-11-04,Oakwood Beach,2845.0,1132059.4,258731,All Grades,44374.0,Fall 2020,0
2020-11-04,Owls Head,5323.0,1889644.66,906442,All Grades,135396.0,Fall 2020,0
2020-11-04,Port Richmond,8488.0,3693792.65,226167,All Grades,46435.0,Fall 2020,0
2020-11-04,Red Hook,4098.0,1592650.63,224029,All Grades,33636.0,Fall 2020,0
2020-11-04,Rockaway,966.0,546132.56,120539,All Grades,29986.0,Fall 2020,0
2020-11-04,Tallman Island,2739.0,1497854.97,449907,All Grades,74748.0,Fall 2020,0
2020-11-04,Wards Island,3604.0,1953133.09,1201485,All Grades,240219.0,Fall 2020,0
2020-11-09,26th Ward,4401.0,2694244.92,290608,All Grades,72091.0,Fall 2020,0
2020-11-09,Bowery Bay,15236.0,5239193.87,924695,All Grades,122994.0,Fall 2020,0
2020-11-09,Coney Island,10920.0,4725167.42,682342,All Grades,117865.0,Fall 2020,0
2020-11-09,Hunts Point,6518.0,3982133.06,755948,All Grades,151282.0,Fall 2020,0
2020-11-09,Jamaica Bay,11355.0,4477890.58,748737,All Grades,131881.0,Fall 2020,0
2020-11-09,Newtown Creek,9341.0,4953011.63,1156473,All Grades,188137.0,Fall 2020,0
2020-11-09,North River,8430.0,3924692.29,658596,All Grades,72242.0,Fall 2020,0
2020-11-09,Oakwood Beach,10368.0,3731524.81,258731,All Grades,44374.0,Fall 2020,0
2020-11-09,Owls Head,12038.0,4323405.17,906442,All Grades,135396.0,Fall 2020,0
2020-11-09,Port Richmond,12649.0,5080919.44,226167,All Grades,46435.0,Fall 2020,0
2020-11-09,Red Hook,2186.0,849492.34,224029,All Grades,33636.0,Fall 2020,0
2020-11-09,Rockaway,2072.0,1301361.91,120539,All Grades,29986.0,Fall 2020,0
2020-11-09,Tallman Island,4169.0,1683504.33,449907,All Grades,74748.0,Fall 2020,0
2020-11-09,Wards Island,8221.0,4325374.18,1201485,All Grades,240219.0,Fall 2020,0
2020-11-11,26th Ward,5813.0,3331669.65,290608,All Grades,72091.0,Fall 2020,0
2020-11-11,Bowery Bay,11977.0,4118499.14,924695,All Grades,122994.0,Fall 2020,0
